execution_id,run_id,request_id,trial_number,iteration,sequence_number,scenario_id,target_prompt_tokens,actual_prompt_tokens,prompt_token_error,prompt_eval_duration_ms,prompt_tokens_per_second,client_ttft_ms,client_e2e_ms,output_tokens,done_reason,engine_load_duration_ms,gpu_sample_count,gpu_memory_used_max_mib,gpu_utilization_mean_pct,gpu_utilization_max_pct,gpu_temperature_mean_c,gpu_temperature_max_c,gpu_sm_clock_mean_mhz,gpu_power_mean_w
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,620ac51b-af9e-44f1-af49-642c7f095ceb,1,7,63,prompt-02048,2048,2048,0,374.886,5462.994083534728,403.344321,414.479068,2,stop,2.573821,4,6628.0,43.0,43.0,68.5,70.0,1818.75,273.575
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,76e19585-99ef-45c0-a67e-27b292e9e838,2,1,8,prompt-00128,128,128,0,29.503,4338.541843202386,35.959213,46.22721,2,stop,2.056181,0,,,,,,,
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,09aa5f4c-15fa-4218-844d-6ba5f198b0a3,2,1,9,prompt-04096,4096,4096,0,768.278,5331.403476345802,816.918037,828.947974,2,stop,2.707492,9,6628.0,81.33333333333333,100.0,69.33333333333333,71.0,1763.3333333333333,271.1122222222223
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,04aaa225-169f-45ca-bf4f-d8afdef2add2,2,1,10,prompt-00512,512,512,0,98.534,5196.175939269694,109.14698,119.890087,2,stop,2.312442,1,6628.0,100.0,100.0,71.0,71.0,1605.0,270.16
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,9a345493-cc3a-4a7f-ad33-80d9965d6f12,2,1,11,prompt-16384,16384,16384,0,3686.497,4444.327501148109,3881.194462,3895.569291,2,stop,4.359653,39,6628.0,100.0,100.0,71.64102564102564,72.0,1602.3076923076924,280.1023076923077
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,30021091-4cda-4dd7-84e1-d6a65b0d1a41,2,1,12,prompt-01024,1024,1024,0,189.878,5392.936517132053,215.970019,226.647906,2,stop,3.321873,2,6628.0,100.0,100.0,72.0,72.0,1620.0,299.39
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,4c63619e-f5b0-44b7-8955-2a01f40853ff,2,1,13,prompt-08192,8192,8192,0,1642.627,4987.133414950564,1767.091159,1779.651657,2,stop,4.196233,18,6628.0,44.44444444444444,100.0,71.55555555555556,73.0,1670.0,260.0216666666667
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,bff8f6ea-35da-4615-af4a-edf6bdafd650,2,1,14,prompt-00256,256,256,0,52.284,4896.33539897483,67.031293,77.42084,2,stop,2.484632,1,6628.0,100.0,100.0,73.0,73.0,1620.0,299.7
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,6a3ca49b-f947-44bc-9bb6-6f5ed084a987,2,1,15,prompt-02048,2048,2048,0,376.286,5442.668608452082,399.765908,411.474796,2,stop,2.701712,4,6628.0,18.0,18.0,70.0,70.0,1875.0,264.36
20260826T175114Z-2f660709,20260826T175228Z-exp-005-natural-corpus-prefill-scaling-fixed-run-35e5b7a0,256ad26c-e42a-4979-a742-6895cb7285f2,2,2,16,prompt-00128,128,128,0,28.393,4508.15341809601,35.909283,46.44197,2,stop,2.543102,0,,,,,,,
